"id","year","Y","VA","K","L","M","I","naics3"
1009,1981,63298100.9922298,18493588.2866458,24610696.7295722,625,40788673.4669993,4.33128366546933,"332"
1009,1982,49750353.4997056,8810874.64493355,27982491.1455328,274,37679283.6304565,1.68464754215491,"332"
1009,1983,25613969.747502,12194590.0438899,1684647.54215491,152,12267165.5606027,0.394656332402334,"332"
1009,1984,27864625.6311071,9958556.91879737,394656.332402334,166,16381825.6271581,2.17537517782928,"332"
1009,1985,26819580.8808843,11172045.490359,2175375.17782928,159,14449118.6278949,1.53838354662058,"332"
1009,1986,25023802.4173247,11510696.5968303,1538383.54662058,164,12876773.910754,0.613649721022341,"332"
1009,1987,25032010.284507,9921141.6805608,613649.721022341,173,14229147.0586088,3.93871731120809,"332"
1009,1988,34681907.1218013,12045490.9451114,3938717.31120809,202,20888723.419221,3.0244094897104,"332"
1009,1989,42353969.7929611,15685281.0137205,3024409.4897104,284,24839091.0797156,11.1715848403644,"332"
1009,1990,45965126.17628,18685866.0435188,11171584.8403644,311,25902416.8714517,5.89745573529022,"332"
1009,1991,40264353.8832864,18218986.4056181,5897455.73529022,302,21528348.7897002,2.86183744780301,"332"
1009,1992,56695503.9141474,25529418.568469,2861837.44780301,438,30842542.7769089,5.22777359065972,"332"
1009,1993,78965560.7647259,31983970.6583872,5227773.59065972,564,46789222.8820093,19.2922428451069,"332"
1009,1994,98661171.254668,40350511.7089425,19292242.8451069,705,57196642.6453514,22.3553840026117,"332"
1013,1974,4067334.09356397,2554520.51824767,4370698.96952983,723,5613645.50986441,1.23863959476109,"334"
1013,1975,4897048.21980452,3168325.50239727,5500010.50959675,714,5630345.39996502,1.26003950481293,"334"
1013,1976,6291269.6624938,4079619.85844542,1260039.50481293,771,6506381.93324085,2.06662154765259,"334"
1013,1977,8605374.13518186,5681166.48761018,2066621.54765259,904,7619847.03555956,2.74106537548279,"334"
1013,1978,10920891.4801654,7474111.04089184,2741065.37548279,949,7597547.6267104,1.4281344151346,"334"
1013,1979,18266663.2959878,13188711.3492954,1428134.4151346,1400,9942920.77327482,4.57495065904301,"334"
1013,1980,26830075.6871956,16537442.7050106,4574950.65904301,1435,17747529.2025736,10.6876161488209,"334"
1013,1981,31823210.3517949,20109593.8669749,10687616.1488209,1513,18084292.8699806,5.35400033413208,"334"
1013,1982,42590848.4623664,25988184.4619331,5354000.33413208,1771,24977673.6176959,9.11565547880751,"334"
1013,1983,43517670.6391286,32828317.9595704,9115655.47880751,1898,14770625.7768108,4.32057689980974,"334"
1013,1984,51478438.2631161,31323107.2889243,4320576.89980974,1554,26643047.292244,7.34661419242268,"334"
1013,1985,79424689.9044583,42695996.2225924,7346614.19242268,1729,45539345.1669511,7.33791360829649,"334"
1013,1986,95608834.4950522,51981864.955521,7337913.60829649,1729,52792339.9033659,9.95896755410698,"334"
1013,1987,116482368.38387,60462541.0649219,9958967.55410698,1796,64611223.9719286,10.9075914849851,"334"
1013,1988,126306679.575235,61383932.4112666,10907591.4849851,1680,72005799.4595426,12.9703181740644,"334"
1013,1989,139733354.131879,68273046.7278244,12970318.1740644,1896,77226015.9460471,9.08469099441206,"334"
1013,1990,192048583.997592,91247670.07653,9084690.99441206,2111,105866055.878348,12.8206400079874,"334"
1013,1991,223568961.945222,108053808.249107,12820640.0079874,2428,119393119.057686,22.7865094139223,"334"
1013,1992,250235393.00617,117654788.109447,22786509.4139223,2303,135276622.672196,14.743387306777,"334"
1013,1993,300207027.265309,142795788.625769,14743387.306777,2462,158717165.22685,19.9594040035103,"334"
1013,1994,382047882.196668,169389453.228133,19959404.0035103,2644,210391571.747503,20.4383632398978,"334"
1013,1995,530848959.179805,219865893.935031,20438363.2398978,2984,301539081.549376,30.5810645179362,"334"
1013,1996,795450397.880655,356361253.981836,30581064.5179362,4620,432894085.165143,67.146789230299,"334"
1013,1997,1164450000,516947923.457119,67146789.230299,5924,647502076.542881,119.03,"334"
1013,1998,1405730872.99213,685874164.222805,119030000,8032,776362070.431581,98.3792313509715,"334"
1013,1999,2047910223.40025,1140953764.85708,98379231.3509714,13457,1013080872.81517,113.158101170851,"334"
1013,2000,3537404959.21567,1928561547.90467,113158101.170851,22452,1881200549.53137,408.749322586012,"334"
1013,2001,2623239550.32854,721184241.333988,408749322.586012,12042,2379214201.04705,268.576942154967,"334"
1013,2002,1161015072.97207,290127772.208477,268576942.154967,7600,1094857477.56253,28.9658295700735,"334"
1013,2003,877639037.393928,409664636.905031,28965829.5700735,5700,582132230.964612,79.1631855556145,"334"
1013,2004,899564148.817238,581921407.968075,79163185.5556145,7500,385964113.487185,11.5925717107381,"334"
1013,2005,1347263306.91524,767501735.077469,11592571.7107381,8200,679852826.964299,33.4527192655379,"334"
1013,2006,1474013046.76465,791366952.101768,33452719.2655379,8600,779202715.033455,36.4585234604076,"334"
1013,2007,1519304432.36788,855781563.414456,36458523.4604076,9050,745470996.998177,35.0517686351866,"334"
1013,2008,1661229618.86646,991254785.215101,35051768.6351866,10600,746305027.986737,44.8534857172104,"334"
1013,2009,1131285234.76933,766302777.372463,44853485.7172104,9050,417107030.298985,34.2026507554005,"334"
1013,2010,1320570883.82305,869561809.745528,34202650.7554005,9300,493390929.272915,31.5529638934688,"334"
1016,1974,54505774.4313617,17913469.6071064,3879962.31242548,370,32788690.0935832,0.463748875633333,"333"
1016,1975,39215819.5602758,11600377.2771495,4301866.53724086,300,24910315.7211835,0.503808773519659,"333"
1016,1976,40933793.8071203,13070466.8983867,503808.773519659,315,25088090.5933143,1.87604773086006,"333"
1016,1977,50133964.8743032,16027360.5370609,1876047.73086006,335,30624013.5548716,0.391304349101528,"333"
1016,1978,60188837.0924819,26014685.0152279,391304.349101528,581,30877112.8745119,0.477709563796738,"333"
1016,1979,82640984.1955427,29909845.3354025,477709.563796738,667,46970202.2821986,1.03813559220676,"333"
1016,1980,65308662.3806998,22016484.8652611,1038135.59220676,567,38613518.2446661,0.432453355520927,"333"
1016,1981,61862039.9091964,23658493.1468066,432453.355520927,659,34235388.9755524,0.961310441191419,"333"
1016,1982,55433355.4598366,16948915.6836701,961310.441191419,556,34982135.0186166,10.1351499593358,"333"
1016,1983,60453048.5946402,23743064.5542069,10135149.9593358,620,33367360.9361105,2.28398888351684,"333"
1016,1984,82102796.527055,30713992.5810832,2283988.88351684,666,46364171.9182771,1.38241677402906,"333"
1016,1985,78451194.3013228,24620297.4642203,1382416.77402906,616,49007599.8045999,1.08919081445624,"333"
1016,1986,83928438.3375953,26707948.2402327,1089190.81445624,606,53625075.8156853,1.05718081976469,"333"
1016,1987,84360085.4063471,22712365.5422792,1057180.81976469,573,57591335.4805686,2.69779285951262,"333"
1021,1980,713708.811213951,108950.59479601,30197.0991086765,11,1042781.19359263,0.0204908886808876,"334"
1021,1981,1024552.13815535,288012.626957611,50292.8676045296,31,1137120.73876362,0.0801797129783913,"334"
1021,1982,1895499.83236877,495559.922622784,80179.7129783913,37,2106122.37584939,0.366275417366621,"334"
1021,1983,6133014.83333401,2825868.10775015,366275.417366621,87,4569839.55314899,6.7347308541834,"334"
1021,1984,8663093.30939658,3909700.55373491,6734730.8541834,117,6283442.73531747,0.214370485068685,"334"
1021,1985,11131782.127253,3540105.29651172,214370.485068685,144,9412803.91253785,0.266978122050429,"334"
1021,1986,11204726.9585785,4692695.11123366,266978.122050429,160,7880111.82933676,0.335751013227206,"334"
1021,1987,13712924.0426742,5179446.77595237,335751.013227206,137,9842201.18709709,0.212701954730568,"334"
1021,1988,30457935.9316434,10536304.192025,212701.954730568,330,22095075.8033534,0.297184362730677,"334"
1021,1989,32338436.8968262,10286057.6837141,297184.362730677,330,23831654.9511995,0.635312939786399,"334"
1021,1990,35697993.9277284,11028403.2963995,635312.939786399,312,25909212.1160475,0.542361427453085,"334"
1021,1991,28936088.1017793,7549002.38899485,542361.427453085,240,22105072.703455,0.138201241611691,"334"
1021,1992,30248425.4639239,8227150.64910382,138201.241611691,205,22469075.9723543,0.246657430227448,"334"
1021,1993,31369722.9911911,8819591.19927203,246657.430227448,220,22737213.8383405,0.165365301728466,"334"
1021,1994,25971610.5193697,6605321.37011728,165365.301728466,169,19159851.9409296,0.168850072663007,"334"
1021,1995,24077470.6094821,7931379.25919107,168850.072663007,161,15655764.2537447,0.123432322277842,"334"
1021,1996,35092622.8871696,10969590.8351157,123432.322277842,214,23782682.9396394,0.192523050054291,"334"
1021,1997,37049000,10992425.634175,192523.050054291,190,26056574.365825,0.218,"334"
1021,1998,34410745.6765731,9243801.74559437,218000,174,27142430.5124471,0.499445060745923,"334"
1021,1999,31213688.4207325,6373614.01960125,499445.060745923,135,27746650.9202811,0.181434295967608,"334"
1021,2000,27291995.3771173,7230117.7868782,181434.295967608,123,23458103.4313558,0.151388637994819,"334"
1021,2001,26257505.5872115,6228457.04355813,151388.637994819,106,25053633.5632169,0.226041124616328,"334"
1021,2002,22259530.1811492,5971745.28495789,226041.124616328,94,20476591.0249113,0.0384702423977539,"334"
1021,2003,20481271.0692396,5516121.85316196,38470.2423977539,90,18615752.6795747,0.251727539680443,"334"
1021,2004,22747744.1839759,6952745.66068865,251727.539680443,83,19192324.6420634,0.121553179102885,"334"
1021,2005,26658344.6848135,7534764.38434478,121553.179102885,84,22425115.3586126,0.196063950662258,"334"
1021,2006,28744346.7844782,7015105.99423743,196063.950662258,83,24802725.0895398,0.224444363645152,"334"
1021,2007,33001378.9877518,7519901.09601555,224444.363645152,115,28628557.6846834,0.270707505459441,"334"
1021,2008,39101175.0444537,6871354.45372387,270707.505459441,122,35901762.2003528,0.213688776294257,"334"
1033,1974,16514535.9928082,1554375.17604789,486831.398854901,168,13405115.6145206,0.117511027309804,"333"
1033,1975,11370933.8056322,2356539.67968738,599092.042719726,133,8131370.89785716,0.0239033359699108,"333"
1033,1976,11052937.0438816,4076213.61593777,23903.3359699108,149,6281829.51655675,0.37590566777901,"333"
1033,1977,11015355.9993131,4713544.61764342,375905.66777901,153,5658339.81196915,0.136876006887366,"333"
1033,1978,10079573.6579836,4681728.28991699,136876.006887366,151,4877074.35526649,0.0755869562969522,"333"
1033,1979,8649920.93457348,2092251.08382384,75586.9562969522,113,5841237.00052335,0.0654931178976076,"333"
1033,1980,7425461.36700985,2269312.6793106,65493.1178976076,88,4598914.92761446,0.022760702922154,"333"
1033,1981,6988222.91773251,3184827.49642711,22760.702922154,91,3408341.18062601,0.082831360830814,"333"
1033,1982,4942069.10660033,2041037.0024361,82831.360830814,64,2637021.54303059,0.0257635332741737,"333"
1033,1983,3507547.54972194,1026636.1732687,25763.5332741737,54,2255012.29467821,0.00675070605965568,"333"
1033,1984,4044970.05547759,1350375.96258605,6750.70605965568,54,2431125.34598288,0.0214942051608447,"333"
1033,1985,3124431.16326705,830567.314131236,21494.2051608447,40,2088331.57405627,0.0600073941436388,"333"
1033,1986,2228810.40031472,278531.233748087,60007.3941436388,26,1827734.57534065,0,"333"
1033,1987,1694908.16367477,940186.069202875,0,22,705061.816287265,0.00432165456069302,"333"
1033,1988,1766124.33421251,961865.376916228,4321.65456069302,24,735569.452036364,0,"333"
1033,1989,1087189.74170666,649873.194054653,0,25,401335.857176323,0.0679468863555921,"333"
1033,1990,1917316.07258033,1256492.41421074,67946.8863555921,32,616456.222278023,0.0221523539229858,"333"
1033,1991,3600466.99424972,1702553.28370529,22152.3539229858,32,1807075.92548361,0.0089379813694194,"333"
1033,1992,1356645.24714941,742797.810080718,8937.9813694194,32,595110.636316878,0.0457618514823464,"333"
1033,1993,2003902.20122874,636855.544966461,45761.8514823464,29,1339233.91631515,0.0138917014047208,"333"
1034,1983,64233318.8835819,43751018.881609,34955020.5217112,1012,18352915.7735549,1.56368675824783,"325"
1034,1984,115520529.672742,53756578.7267587,33729525.8681931,1010,55895483.3325423,2.20658716107485,"325"
1034,1985,125571085.667666,57229697.0897507,2206587.16107485,995,62672969.4720198,4.14726804900469,"325"
1034,1986,166033892.573552,65640676.7672563,4147268.04900469,1050,96212540.6706955,9.39212917983182,"325"
1034,1987,209028124.060372,101036558.522927,9392129.17983182,1700,102953604.169239,10.228559309597,"325"
1034,1988,289963144.192092,113472252.941687,10228559.309597,1700,170561318.262636,14.1919848506072,"325"
1034,1989,309959876.349742,115737552.615374,14191984.8506072,1700,188811997.009566,16.7417396081032,"325"
1034,1990,316061625.438728,125035911.886811,16741739.6081032,1725,183948846.737488,10.7683348001193,"325"
1034,1991,326503387.921233,105613433.825078,10768334.8001193,1700,217108231.171716,11.0153570518147,"325"
1034,1992,331323735.530097,133159191.005052,11015357.0518147,1900,196066880.86577,15.2268031943316,"325"
1034,1993,373067964.458956,141009725.240041,15226803.1943316,2200,231749990.991066,21.052729678635,"325"
1034,1994,502628674.498945,176093019.010859,21052729.678635,2819,328023713.097509,44.4593781319016,"325"
1034,1995,522896685.315161,211627686.214446,44459378.1319016,2788,314219245.447664,24.3223685949347,"325"
1034,1996,485455813.739881,176933171.337751,24322368.5949347,2550,308577017.610561,29.9739012477615,"325"
1034,1997,500288000,205228981.127852,29973901.2477615,2600,295059018.872148,27.783,"325"
1034,1998,608305403.16938,252874681.601363,27783000,3000,383398180.627334,32.5676781083094,"325"
1034,1999,749595506.24576,309306516.273909,32567678.1083094,3300,464889425.527523,36.0099836092654,"325"
1034,2000,886402981.040822,416989701.415619,36009983.6092654,3500,477765049.702224,77.9924901491015,"325"
1034,2001,945997947.047703,467572740.386195,77992490.1491015,4900,493203580.214649,94.2078267225287,"325"
